text,user_location,target
"Every time you demonize ""the left, Democrats, liberals"" and people who oppose you...you are REJECTING THE MAJORITY… https://t.co/JC89mIb2Jo","California, USA",0
"My Late Baby Sister left behind three sons. The eldest, on the far right was just diagnosed with #COVID19. He’s in… https://t.co/3bnCpoWCMI",United States,2
"Another #ExGop-er 
Amazing that it took the #pandemic for her to regret her choice; but hey, better late than never… https://t.co/glFm9zcecO","South Florida, USA",1
"@BitcoinBehemoth Nope😉
#COVID19 #coronavirus #cantstopthetruth https://t.co/kJKYBfW5vm","Launch Pad, USA",2
@ckkirsch1 Comments on @andrewcuomo's mishandling of senior #COVID19 patients aren't politically motivated. They ar… https://t.co/7dorCM29I2,"Texas, USA #BackTheBlue",0
"@BhadeliaMD It's OK but a little disturbing the US has to get #COVID19 data from S Korea, like the youth study. I m… https://t.co/Ll4QfPhaXd","Lincoln, America",1
"@BernieSanders This guy gets it. 
#WearAMask #realmenwearmasks #toughguyswearmasks #MasksSaveLives… https://t.co/z60VFP3SKD",USA,2
"@denisear2017 @TomCottonAR Trump, #GOP &amp; @BetsyDeVosED are unfit for office. The plan? Return to school, church, wo… https://t.co/Rwz5b7tcJD",USA,2
"Children are affected, infected and dying in Florida from Covid19.
#ReopenSafely #ReopeningSchools #health #covid19… https://t.co/3XZPMne57z",United States,0
#Coronavirus in #Andorra: There is a total of 52 confirmed deaths from #COVID19.,"Florida, USA",2
CDC changes COVID-19 guidance on how long people need to be isolated https://t.co/LqEQKBBQAN via @nbcnews #COVID19 #theyhavenoidea,"New Jersey, USA",0
Two students tested positive for coronavirus after taking the ACT at an Oklahoma high school… https://t.co/DRNa3Uq3th,"California, USA",1
"Another WWE employee has contracted COVID-19

Via @PWCDeez

#WWE #WrestleMania #COVID19 #Coronavirus

https://t.co/6sxCU0hn7a","North Carolina, USA",2
@NYCAudubon #Audubon #SaturdayMorning #SaturdayVibes #COVID19 #SaturdayThoughts #SaturdayMotivation #free shipping… https://t.co/VUTtHfSyPo,"Florida, USA",2
"The #OrangeBaboon wants to make sure we have over 150K dead from #COVID19 before the end of July!

7/24: 148490 dea… https://t.co/cOVtyFoRrL","Virginia, USA",0
We've progressed to the point that we're joking about #COVID19 . That's good...now if we could just get some sort o… https://t.co/AKDfTtpsFY,United States of America,1
"@forwardarc @realDonaldTrump @VP If the U.S. doesn’t lock down, we’re stupid, and will reap what we sowed. 
And I c… https://t.co/7hwD0gcNOt","Pennsylvania, USA",0
"so lets pack'em all into schools in late summer/fall, big mistake for now as young are always a major disease vecto… https://t.co/uCNLTAsTnU",Live Free or Die - NH USA,0
If schools reopen the spread of #COVID19 will be on a biblical scale.,United States,2
"#Hurricane may hit area with major #COVID19 spread &amp;  full hospitals. This is why we need

https://t.co/nLfpY1vEvZ… https://t.co/DulqthAtyT",United States,2
@FOXLA Yes Green it is your fault.  Next time put your foot down and say heck no!  Quarantine means quarantine. The… https://t.co/J2PlbrLqXE,United States,0
Resources to help #fire departments identify and report counterfeit #PPE. https://t.co/KDksIiDft1 #COVID19,"Virginia, United States",1
Mistake by Florida on child #COVID19  rate raises question: Can #Florida’s numbers be trusted? https://t.co/H19fDNDLMS,"South Florida, USA",1
"Year 2020:
The United States has failed in controlling #COVID19 and has failed at keeping cities peacefull ! Donald… https://t.co/BiKeRgTn0O",United States,0
Thankfully I am an epidemiologist working w/ #COVID19 on a daily basis &amp; recognized my symptoms right away. It also… https://t.co/EBdctvXd79,"Michigan, USA",1
Dear @realDonaldTrump There is little logic in your argument that more testing will result in more cases of… https://t.co/hm1WdWUxFK,"Florida, USA",1
New #COVID19 preprint: COVID-19: A Data-Driven Mean-Field-Type Game Perspective https://t.co/DE2VLHehga,United States,2
New #COVID19 preprint: Country distancing reveals the effectiveness of travel restrictions during COVID-19 https://t.co/vxMC6aEjs0,United States,2
New #COVID19 preprint: Anxiety and perceived risk during COVID-19 outbreak https://t.co/erGzbL3mgp,United States,0
New #COVID19 preprint: An analysis of mortality in Ontario using cremation data: Rise in cremations during the COVI… https://t.co/DrWxijRn18,United States,2
New #COVID19 preprint: Epidemiological and cohort study finds no association between COVID-19 and Guillain-Barre sy… https://t.co/V6fib1NzL5,United States,0
Updated #COVID19 preprint: The Role of Hydroxychloroquine in the Age of COVID-19: A Periodic Systematic Review and… https://t.co/7lym5FSphH,United States,2
"If ur a normal, hard-working, patriotic, tax-paying Republican u r required to abide by the law.
But if ur an insan… https://t.co/JZ5PmPwqhz",United States,2
"New #COVID19 preprint: Infectivity, susceptibility, and risk factors associated with SARS-CoV-2 transmission under… https://t.co/fXlXQEmy9j",United States,0
Updated #COVID19 preprint: Impact of Hypertension on Progression and Prognosis in Patients with COVID-19: A Retrosp… https://t.co/NijLI5EqGz,United States,2
TODAY - #COVID19 testing until 3pm - Burke High School https://t.co/G0mwLt7FtU,Charleston South Carolina USA,2
"Over 140,000 Americans are dead from #coronavirus , but hey- #PawPatrol isn't canceled. Are you shitting me?
Jesus,… https://t.co/p458OhW1Uv",Sitting on America's face.,0
New #COVID19 preprint: Mathematical modelling of dynamics and containment of COVID-19 in Ukraine https://t.co/mVyxkGxeu1,United States,1
America is the shithole country now under Trump. 😩 #Racism #COVID19 https://t.co/OVUa41Dj6D,United States,2
New #COVID19 preprint: SARS-CoV-2 serosurvey in Health Care Workers of the Veneto Region https://t.co/ZIzMbHvmqX,United States,1
Updated #COVID19 preprint: Prevalence of IgG and IgM antibodies to SARS-CoV-2 among clinic staff and patients https://t.co/6vJQ3Hmzop,United States,2
"New #COVID19 preprint: Decreased incidence, virus transmission capacity, and severity of COVID-19 at altitude on th… https://t.co/PFI25FlwhV",United States,2
@realDonaldTrump @BrandonStraka @foxandfriends @PeteHegseth How is the golf game while #Americans are dying?  I so… https://t.co/AzAgKHIlUZ,Everywhere USA,2
New #COVID19 preprint: Sentiment Informed Timeseries Analyzing AI (SITALA) to curb the spread of COVID-19 in Houston https://t.co/jUTzJvBKtx,United States,2
"New #COVID19 preprint: Concerns, quality of life, access to care and productivity of the general population during… https://t.co/ILc6qS7uim",United States,1
New #COVID19 preprint: Cell type-specific immune dysregulation in severely ill COVID-19 patients https://t.co/j4JPUk36nK,United States,0
New #COVID19 preprint: Severe COVID-19 is associated with elevated serum IgA and antiphospholipid IgA-antibodies https://t.co/ZoBVyIV4u4,United States,0
New #COVID19 preprint: Reducing COVID-19 hospitalization risk through behavior change https://t.co/2wyIKFhmZD,United States,0
Your Body is Their Weapon - We're all Patients Now https://t.co/Mfro1m6kMA  #COVID19 #coronavirus #pandemic #virus… https://t.co/eOrKPpWXsg,"Earth, USA",0
New #COVID19 preprint: Comparative Evaluation of 19 Reverse Transcription Loop-Mediated Isothermal Amplification As… https://t.co/X5qo8L6JXX,United States,2
New #COVID19 preprint: COVID-19 Vulnerability of Transgender Women With and Without HIV Infection in the Eastern an… https://t.co/hbItYGWSaT,United States,0
(R) Rep. Vern Buchanan dies from the #COVID19 #CoronaVirus https://t.co/9q1s3Obw3D,"Atlanta, GA USA",2
New #COVID19 preprint: Development of a quantum-dot lateral flow immunoassay strip based portable fluorescence smar… https://t.co/JvuDC1AJX9,United States,2
"How #COVID19 Will Change Work in General (and recruiting, specifically) via/ @ProactiveTalent #Recruiting… https://t.co/KWwLaPiuP5","Florida, USA",2
New #COVID19 preprint: Presence of SARS-Coronavirus-2 in sewage https://t.co/fvYbyCcfs9,United States,2
Updated #COVID19 preprint: Virus-Receptor Interactions of Glycosylated SARS-CoV-2 Spike and Human ACE2 Receptor https://t.co/CQFvzQxYAI,United States,2
New #COVID19 preprint: Tissue-specific and interferon-inducible expression of non-functional ACE2 through endogenou… https://t.co/hpXHgnCotq,United States,2
"@Pensmoc Man, you get better.
At least your sense of humor, is all good. 😊
The #coronavirus #COVID19 is NOT a hoax.… https://t.co/dTYCIvuU1u","Virginia, USA",1
Updated #COVID19 preprint: Relevance of SARS-CoV-2 related factors ACE2 and TMPRSS2 expressions in gastrointestinal… https://t.co/pNDXtQxKQ0,United States,2
"Updated #COVID19 preprint: The Integrin Binding Peptide, ATN-161, as a Novel Therapy for SARS-CoV-2 Infection https://t.co/i9LldXbhji",United States,1
"#Homeschoolers must set the children free with Education Automation to learn whatever they want to learn, when they… https://t.co/1Ie0gNghgV",United States,1
New #COVID19 preprint: Co-expression of Mitochondrial Genes and ACE2 in Cornea Involved in COVID-19 Infection https://t.co/FHc19ymkZa,United States,2
"3 Proactive Response Strategies to #COVID19 #Business Challenges
- Same Products, Different Channel
- Same Infrastr… https://t.co/eQIP2tnqh5","Cambridge, MA, USA",1
Updated #COVID19 preprint: Potent Neutralizing Antibodies Directed to Multiple Epitopes on SARS-CoV-2 Spike https://t.co/OCCMAb03eI,United States,2
"@DanRather @VetAction Amen.

The Trump administration and his inadequate appointees ignored early warnings, misled… https://t.co/3X0dyhnFlU",USA,0
Why is no one wearing a mask? I thought we weren't allowed to have parties and parades? So when you see more… https://t.co/wCCFQGMNiI,"San Juan, USA",1
"My new #facemask from @chicagotheband makes me smile! Mask up, friends! Stay safe and well. (Wonder if this allows… https://t.co/UxvXiYN6rZ","Lexington, KY USA 🇺🇸",1
"C.D.C. Calls On Schools to Reopen, Downplaying Coronavirus Risks https://t.co/7ElqAhk4p4  👈 click the link… https://t.co/3qDDuZWtYJ","California, USA",0
Stop spreading misinformation! So sick of “study suggests” after every #COVID19 story. It’s not factual information… https://t.co/vUXcTOHIbV,United States,0
"@DenverChannel If I am forced to “believe” this whole #COVID19 scam, then this is the most logical school re-openin… https://t.co/VNb5xFaNDL",United States,0
"Thanks to Yuqiang Liu, Laboratory Director at the State Key Laboratory of Crop Genetics &amp; Germplasm Enhancement of… https://t.co/K6A5wxCb1s","Billerica, MA USA",1
"So far...

#COVID19 #BackToSchool2020 #ReopeningSchools https://t.co/T5QruK7xOp","Wisconsin, USA",2
People of color are disproportionately exposed to toxic air pollutants — resulting in increased #COVID19 mortality… https://t.co/pBHmTFk27b,"California, USA",1
"Wake up America! 

New Jersey can close gym that defiantly stayed open amid #COVID19, judge rules:… https://t.co/0BZ4gRN9Rs","New York, USA",2
"@CassieCeleste @lobster_nanny I do understand. In 2017, we suffered a standard further 1 day delay of 1st class mai… https://t.co/5tt4di1xd2",United States,0
The @UniofOxford has been tracking the severity of #covid19 lockdowns and the results show that the response is not… https://t.co/LeGocrB1EJ,"Washington, USA",2
"Keep in mind that CDC says our numbers in US r actually 10x than reported due to lack of testing, weeks to get resu… https://t.co/pKfHJYdETG",World citizen USA 🇺🇸 🇨🇦 ,0
"Here is video from our ""#OpenGov During the #COVID19 Pandemic: Transparency Challenges in New England"" discussion f… https://t.co/Lsn3abFGJK","Massachusetts, USA",1
"#Coronavirus in #Nigeria: There is a total of 39,539 confirmed cases of #COVID19.","Florida, USA",2
@ArtValley818 How come you ain't ever see packs of young White men and women doing this nonsense??? In all my life… https://t.co/xbijO6qQlW,"San Juan, USA",0
"For me, that means presenting pretty femme, having a (pre-#COVID19!) pixie cut, wearing makeup when I want, not whe… https://t.co/PGZdjaMWt1","North Carolina, USA",1
@GOP @realDonaldTrump Yo-hooo bigots it is actually called #COVID19 but I like to call it the #TrumpVirus because h… https://t.co/hIPAWR2g8N,Everywhere USA,1
Such beautiful chaos! My midsummer garden is quite the metaphor for life at the moment. So many things to be gratef… https://t.co/LTqx20TTou,"Massachusetts, USA",1
The insanity of this situation is the crazy are now the sane ones and sane ones are now batshit crazy!? #COVID19… https://t.co/E5KOhwocQr,"9th Ring Of Hell, FL USA",0
Don't forget that the @CDCgov openly admits that they intentionally misconstrue the #COVID19 numbers right here on… https://t.co/i6HIRwJ2La,United States,1
"@TomCottonAR Trump, #GOP &amp; @BetsyDeVosED are unfit for office. The plan? Return to school, church, work - during… https://t.co/ZhLBgp054Y",USA,2
Just watched an ambulance roll up to hospital. 3 EMTs got out w/patient. Not 1 EMT wearing a mask. #COVID19 #ItsReal #Oklahoma,"Texas, USA",2
"@tedcruz Trump, #GOP &amp; @BetsyDeVosED are unfit for office. The plan? Return to school, church, work - during… https://t.co/TaqlojUYFR",USA,2
"In case you missed it, here’s the now retracted article that triggered #MedBikini...
https://t.co/E9cTVccOXL

An ID… https://t.co/iqFfoRsHWk","Chicago, USA",0
"The symptoms of coronavirus can last for two to three weeks after testing positive.

Follow @Health_Archives… https://t.co/wHr5OqlNfJ",United States,1
Judge Blocks Deportation Of 16-Year-Old Boy Who Claims Trump Is Using The Coronavirus As An Excuse… https://t.co/nriRxIwdkX,"California, USA",0
"Seven years after this TED Talk, what can we glean from it for education of children during the Covid-19 pandemic?… https://t.co/bFXzAS8Wyt","Pennsylvania, USA",2
Organizers in NY have released a statement for @NYGovCuomo and state law makers after another incarcerated person w… https://t.co/bLD4rHBZBR,"Easthampton, MA (USA)",2
"Australia welcomes Vietnam's ban on wildlife imports, markets amid new health fears https://t.co/p5W9xp1blL #covid19","Naples, Florida. United States",0
How many nails in the coffin does someone need? Will every randomized study looking at the same question be publish… https://t.co/H5fHwI2k6J,"New haven, CT, USA",2
"what I am afraid of

#thankyouholyspirit #SpeakingOut #Science #COVID19 #kids #findmaryj #fearwomen #twitch… https://t.co/pTZZJogQKm","New Jersey, USA",2
@JoshuaPotash Are they there to protect the courthouse or burn it down?  Will masks really protect them from transm… https://t.co/wCg561Q1W6,USA and Rio de janeiro,1
"Another example of how Reagan, enabled by Lincoln Project type republicans, contributed to the hellscape we all now… https://t.co/l4wHCJJWsl","Midwest, USA",2
"Depopulation Agenda:
#COVID19
Melinda Gates wants to deliver coronavirus vaccine based on racial groups, blacks fir… https://t.co/4zU2AkftaY",United States of Africa,2
"So, if you do not live in New England, Hawaii or N.Y., @CharlieBakerMA wants you to stay the heck out, unless you q… https://t.co/xADG1iGMGu","Connecticut, USA",2
Long but revealing piece about #COVID19 #coronavirus #vaccine https://t.co/HYPUXYvWta,"North Carolina, USA",2
How we can #RebuildBetter toward a more equitable and just future. #COVID19 #ClimateJustice https://t.co/Yii8XME40o,United States,2
Tell patients the truth-stop lieing if families only have a small amount of time -rib them of that too. #Texas… https://t.co/2uH07SsBVC,United States,2
Dr. Robert Cicco: What 13 words could cost Pa. in covid-19 fight | #covid19 | #kids | #childern https://t.co/LJ8N6xBaEa,United States,0
"I've been in #Texas for 3 days, helping my daughter move.
In Austin, the state #MaskMandate is being followed &amp; peo… https://t.co/oTvZAXmmpg",USAhttps://twitter.c,1
"Isn't it suspicious how leftist mayors, govs, etc all colluded to kill the US economy by shuttering small businesse… https://t.co/mXNv7hZMV5",USA,0
"#Coronavirus in #Egypt: There is a total of 4,518 confirmed deaths from #COVID19.","Florida, USA",2
"#ZedTwitter would you want a free hand sanitizer
Download the medsearch zambia 👉📱app. And get location of the neare… https://t.co/LFMjEJa3qA",Lusaka,1
"In a 5-4 vote, the @SCOTUSblog rejected a Nevada church's request to block enforcement of state restrictions on att… https://t.co/T2Gq1eCxMF","Boston, USA",0
You can’t get #Covid_19 handing out sandbags in Florida Maybe this is why Florida has a big problem… https://t.co/NSifmtGMWN,"California, USA",2
"Survey Finds the Average Person Has Gained 7 Pounds During Quarantine

https://t.co/QzOW23Cmzs

I really am not hap… https://t.co/oag7os6cSL","Pennsylvania, USA",1
This week I learned my son has been secretly training for a Zombie Apocalypse (or Broadway Play if you see the end)… https://t.co/5t7zitl4jq,"Virginia, USA",1
"Your belief in GOD or a higher power, does not transfer to good morals.
If ONLY it was that easy.
Morality is a cho… https://t.co/LaIIyMbMX8","Virginia, USA",1
Anna Levine got her law degree at 62 and beat cancer twice. Then coronavirus took her https://t.co/rK1v0R67dT  👈 cl… https://t.co/Ciz4tBLBPJ,"California, USA",0
@drdavidsamadi @JamminWithDonna Stop spreading deny and lies. Covid is spiking in many states. Amercians are banned… https://t.co/qv8viDOWKo,"Massachusetts, USA",0
"and I pray for all these things, amen. #COVID19 #chaplain #healthcareworkers #FirstResponders","South Carolina, USA",1
#NewMusic coming from @JenniferMlott #music to help your #COVID19 blues.,"Indiana, USA",1
"@BarackObama Also @sarahzhang  @DrDenaGrayson, schools require kids, rightfully so, get vaccinated for what we have… https://t.co/bDEJwwDS1t","Maryland, USA",2
Republicans forcing all of us off this $600 #unemployment cliff had better be prepared for the other side of this.… https://t.co/4UHK7rMjTy,"Vermont, USA",1
COVID-19: What Can Artificial Intelligence Contribute to Healthcare Industry #ARTIFICIALINTELLIGENCE #CORONAVIRUS… https://t.co/v5HL85Ol4O,"Belgium, USA, Pakistan",1
"If #SCOTUS rules that protests are legal, but gathering as a church is not, then isn't assembling as a congregation… https://t.co/2qVEFdcyzq","North Carolina, USA",0
"“To be able to meet their financial needs, women were already diversifying their activities to include animal husba… https://t.co/LPaj27RMLK","New York, USA",2
@BarackObama Not sure if I missed it but another concern @sarahzhang @DrDenaGrayson is the amount it will all cost… https://t.co/b0ypGkDBLb,"Maryland, USA",0
"Sinclair Broadcasting is under attack by Marxist media activists again for airing... 

#Plandemic - The Dr #Fauci S… https://t.co/6TkUy3VV12",USA,0
@realDonaldTrump #DonaldTrump is trying to create a #AryanNation Federal agency of racism. he is about to face the… https://t.co/p8y6dKPWOA,"New York, USA",0
"Put Others First
View Others 👀
As More Important Than Yourself
Abandon Every Display Of Selfishness
Possess A Great… https://t.co/fnwi6oaJE7","Washington, USA",0
"How does the non-aggression principle apply to the current raft of state-issued public health mandates? 
#COVID19… https://t.co/DNqk93SC6C",USA,2
"Gunshot To Head, Parkinson's Disease, Deaths In Palm Beach Incorrectly Attributed To #COVID19 https://t.co/at5v89Jw4C #ChinaVirus","Tennessee, USA",2
Social Media Has Turned Bill Gates Into The Coronavirus Pandemic’s Fake Villain https://t.co/bHuCfuMoCj  👈 click th… https://t.co/YyPI4T41zR,"California, USA",0
#Coronavirus in #Moldova: There is a total of 726 confirmed deaths from #COVID19.,"Florida, USA",2
Adams County food inspector says she disagrees with the mask mandate – WPTA21 Someone should not have a job.… https://t.co/hXXDlXpnt2,"Michigan, USA",0
"Coronavirus updates: CDC finds 'prolonged illness' is common
#Europe
#China
#Infections
#Britain
#CDC
#LatinAmerica… https://t.co/gTRQA03BhZ",North America,0
"Laurent is the only active @NFL player who is also a med school grad.

He has been on the front lines of #COVID19.… https://t.co/nVX6fYslKu","Maryland, USA",1
We currently have more cases of #COVID19 in PA per day then we had in May.,"Pennsylvania, USA",2
3) I'm hoping this will distract you from my massive medical failures when it comes to #covid19 so you'll vote for… https://t.co/Rw2jSIy4ur,"Texas, USA",0
"it is over here 

#thankyouholyspirit #SpeakingOut #Science #COVID19 #kids #findmaryj #fearwomen #twitch… https://t.co/1JUS1H6IeS","New Jersey, USA",2
"One positive of #COVID19, my mask can hide my resting bitch face",USA 🇺🇸,0
"No virus bill yet: White House, GOP at odds over jobless aid
#Congress
#StimulusCheck
#NancyPelosi
#MitchMcConnell… https://t.co/oPMEW8h7dY",North America,0
During #COVID19 giving the gift of support is more than an unique gift idea. Its a way to ensure your expecting fam… https://t.co/IhlR7VWA2j,"California, USA",1
"#NuvanceHealth infection control &amp; prevention specialists share tips about low-, medium-, and high-risk activities… https://t.co/vYRJzJS8LO","Danbury, CT, USA",1
Parents ask their #COVID19 questions about #backtoschool - https://t.co/15x7LT0zPz &lt;-- advice from my hospital.… https://t.co/wpbPH9i4Kx,"Illinois, USA",2
"@realDonaldTrump Same tweet. All lies. 

BOR-ING 

Know what isn’t boring ?  #Covid19 and #unemployment 

They’re damn stressful","New Jersey, USA",0
@HGiamarco @MSNBC Cuomo flattened the curve by sending #COVID-19+ patients into nursing homes. THOUSANDS died becau… https://t.co/cLTQiQtTNu,Midwest USA,0
Supreme Court Rejects Nevada Church’s Challenge to Coronavirus Shutdown Restrictions https://t.co/Ocpnmceyhw  👈 cli… https://t.co/2GGSUgBecU,"California, USA",1
The U.K. is also mounting an anti-obesity campaign as a way NOT to die from #COVID19:             Coronavirus: Indo… https://t.co/jJF0GHHB4Z,"New Jersey, USA",1
Coronavirus orphans: When kids lose both parents to #COVID19 https://t.co/tZNXp3R92n,Washington DC USA,0
"Anyone want to video: exposure to working around #Covid19 while using #Zinc?

I plan on making this public informat… https://t.co/29Zy20RsPh",USA,1
"#Coronavirus in #France: There is a total of 217,797 confirmed cases of #COVID19.","Florida, USA",2
Seriously @IndyMayorJoe @Marion_Health are you trying to get the whole city infected? Wtf is wrong with you?… https://t.co/5Sew3PxOxP,"Indiana, USA",0
Maybe pay people a LIVING WAGE so they won't have to work 2 jobs just to pay rent? #unemploymentbenefits… https://t.co/aP8PyqFy8L,"Texas, USA",0
#SocialDistancing due to #COVID19 in a new state I moved to for fellowship has made me bored enough to do Uworld qu… https://t.co/XAJQdD0PA7,"Rhode Island, USA",0
"""Allison Hanes: Challenging myths in ..."" has been published on https://t.co/PafDlE671X @ https://t.co/37SAhwrK11… https://t.co/iTyAwtDZtj","Los Angeles, California USA",1
"CHIEF JUSTICE JOHN ROBERTS: There is no way the Chief Justice isn't compromised. #SCOTUS, denied an appeal by a… https://t.co/4mcIuUagQn",All Over America,1
What Arizona’s Tenuous Coronavirus Plateau Could Teach Us https://t.co/tAK7Dw1hGa  👈 click the link #plandemic… https://t.co/1WZebukhr2,"California, USA",2
"If #2020 were a #song 

https://t.co/EZhDQcsjtc

#coronavirus #MurderHornets #HurricaneHanna #2A #masks #COVID19… https://t.co/4bxL7akkkT",United States,2
#COVID19 is not the only thing brewing in Florida. https://t.co/lhbfzzwtkq,"Pennsylvania, USA",2
@BusyDrT You're doing a disservice to the community. JUST SAYING! #COVID19 #COVIDIOT,USA,2
"@CNN It’s Sickening to me that this is what you will report, but you will not say anything about the people rioting… https://t.co/Kh0QufWM59","Ohio, USA",0
"In the far reaches of northern Maine, the drought is getting severe. Could impact Aroostook County #potato  crop wh… https://t.co/8hvmahoWc9","Maine, USA",0
"8 Tactics School Leaders can Employ to Strengthen Empathy
https://t.co/Dj6Ofjvsgp

#schoolrubric #communication… https://t.co/4KEGVdPuCv","Orlando, Florida, USA",1
"Fun fact 🐈

#ketamine #covid19 #covid #coronvirus #coronavirusmemes https://t.co/rIuyKOJ0He","Colorado, USA",1
"HOW THEY PULLED OFF THE 'PANDEMIC' - AN ANIMATED FILM EXPLANATION BY DAVID ICKE

All funding goes back to Bill Gate… https://t.co/EMcZ6W8l1k",United States,2
"Daily #COVID19 update: in the last 24hrs, Zambia recorded 472 new cases,12 recoveries and 3 additional community de… https://t.co/4W2sgiubx7","Lusaka, Zambia",2
"#USA #BREAKING #BlackLivesMatter #COVID19 #IfMomsRan2020 #QAnons #GreatAwakening 
Thread written ~ years ago, but n… https://t.co/3fffLdcHCs",USA,2
"@ASALifeline @DocAsha_com #facemask #MaskUp #MasksSaveLives #COVID19  I wear a mask at home, in the #grocerystore a… https://t.co/XurJa8fhjs","New Hampshire, USA",2
"@pisces_jessica @johncardillo It's labs &amp; other medical facilities that are ""private"" that are reporting erroneous… https://t.co/Fqgq3N0rT1",United States,2
"#Coronavirus in #Honduras: There is a total of 1,061 confirmed deaths from #COVID19.","Florida, USA",2
"#HurricaneDouglas #updates 

Now Category 2

@CivilDefenseHI + @CountyofMaui under #TropicalStorm #Warning… https://t.co/1IIiI5ny8s",Hawaii+American Samoa+BEYOND,2
Las Vegas Coronavirus Relief Task Force Partnered With Company Tied To UAE Intelligence https://t.co/QBElgU1cI2  👈… https://t.co/mg3CmsZzSz,"California, USA",1
"Dr. Anthony Fauci threw out the first pitch before the Nationals-Yankees game.

Still more accurate than his COVID-… https://t.co/TNceUCbhff","Stamford, Connecticut, USA",2
People have registered to take the test but decided not to only to be called later and told they are positive for… https://t.co/a3h6IJMRTP,"""United States of America""",1
Cardi-B TRIED TO WARN US https://t.co/kdtrWc1yU7 via @YouTube. #COVID19  #coronavirus #COVID,"Connecticut, USA",0
This pandemic is alive and well. Everything we choose to do is so important. We can save lives. We have to be smart… https://t.co/jkg9jWJA0m,"Massachusetts, USA",1
"NEW #COVID19 COMMENTARY:

#Brazil should learn from the United States that the worst is yet to come! -&gt; Lack of inf… https://t.co/F0JrgjjeUG",London UK - Boston USA,0
Especially during #COVID19? 🤢😷 https://t.co/6gMRaFdDju,"Massachusetts, USA",2
"#CNN chooses the #religious concert to bash, but this is ok? Does one group somehow spread #Covid19 differently tha… https://t.co/7ndaO2FwuT",United States,1
Here is some good news for #MedicalMarijuana amidst #COVID19  https://t.co/VkhautPR1v,"Connecticut, USA",1
"I 💜 us #girls.  We’re all “OMG!  I love your mask, where did you get it?!”  #COVID19","Florida, USA",1
A pestilence is sweeping our land. The gods are pissed. It's time to take this situation into our own hands with an… https://t.co/456NiKoqjm,"California, USA",0
"Your Saturday Chuckle, from our Tim Hartman: @GovernorTom Wolf, the Musical https://t.co/7GvGiyuEpD via… https://t.co/vzGk0JoEpl","Pennsylvania, USA",1
"Filmmaker and elite marathon runner, Alexi Pappas wants to make sure ‘the complete person is happening’… https://t.co/e4lYm8Soqv","California, USA",1
